Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-308,309,310,316 and 344",Chrome 76.0.3809.100,Version Release 6.6\r\n\r\nEnhancements Vreemdelingen Module,,2019-08-21 19:07:03,2019-08-21 19:21:53,14m - 50.170s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-308,Chrome 76.0.3809.100,"Description
To be able to create documents with more information, new fields should be added to the Vreemdeling proces.

Solution
In process Vreemdeling below field Land, 
add field 'CRV nummer' and ‘IND BES nummer’. 
These new fields should not be mandatory, if a person has a CRV or IND BES number in ACTFMS this can be automatically included. (KPNAPF09G.BVDRCRVN)
Also add the fieldsLuchtvaart maatschappij/ rederij, naam vliegtuig/boot, telefoon nummer Boot/ vliegtuig, Agentschap, Geboorte plaats, telefoon nummer (Thuis, Mobiel en Werk), ticketnummer, PNR nummer, Meereizende minderjarige kinderen. As shown in the screenshot. 
This field should be saved in the same table as now Vreemdeling is saved.

See detailed description and screenshot in attachment.

Testplan
Step 1: Go to Generiek - assistentie - rol/proces - Vreemdeling
Step 2: Add a new vVreemdeling and fill all fields.
Step 3: it should be possible to register CRV nummer, ticketnummer, PNR nummer etc.

Navigation
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Vreemdeling save""))",Chrome 76.0.3809.100,,,2019-08-21 19:19:34,2019-08-21 19:19:34,0.602s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-21 19:19:34,2019-08-21 19:19:37,3.003s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,,2019-08-21 19:19:37,2019-08-21 19:19:40,2.514s,PASSED
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-344,Chrome 76.0.3809.100,"Possibility to enter, as a Rijbewijs, a Vaarbewijs in ACTPOL at the personen module

 

Make changes to POL0009.pdw to add a new section for Vaarbewijs. Can follow the
logic and copy the HTML from Rijbewijs to implement. Each section is a set of tasks
add/update/delete in the same program. 
Table KPNAPF09C is for the existing vehicle type data, make a new KPNAPF09[new
letter] for the vessel type data. 
File KPSLPF0288 is for new list values. Use this file for the new Vessel License Type
field values/dropdown.",ACTPOL-344,2019-08-21 19:19:40,2019-08-21 19:21:53,2m - 13.155s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-21 19:19:41,2019-08-21 19:20:07,25.725s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie""), ""assist"", false)",Chrome 76.0.3809.100,,,2019-08-21 19:20:07,2019-08-21 19:20:20,13.103s,PASSED
"setText(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie Set text""), Generiekassistenite_Module)",Chrome 76.0.3809.100,,,2019-08-21 19:20:20,2019-08-21 19:20:21,0.982s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:20:21,2019-08-21 19:20:23,2.003s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Zoeken new""))",Chrome 76.0.3809.100,,,2019-08-21 19:20:23,2019-08-21 19:20:27,4.231s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:20:27,2019-08-21 19:20:29,2.003s,PASSED
AssistentiedynamicId = Generiekassistenite_Module,Chrome 76.0.3809.100,Remember first set default assistentieid after run the script,,2019-08-21 19:20:29,2019-08-21 19:20:29,0.001s,PASSED
"Assistentiexpath = ""//*[text()="""" + AssistentiedynamicId + """"]/preceding-sibling::td/a[2]""",Chrome 76.0.3809.100,,,2019-08-21 19:20:29,2019-08-21 19:20:29,0.000s,PASSED
"to = findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/View Assistentie"")",Chrome 76.0.3809.100,,,2019-08-21 19:20:29,2019-08-21 19:20:29,0.393s,PASSED
"to.addProperty(""xpath"", EQUALS, Assistentiexpath)",Chrome 76.0.3809.100,,,2019-08-21 19:20:29,2019-08-21 19:20:29,0.001s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-21 19:20:29,2019-08-21 19:20:34,5.006s,PASSED
click(to),Chrome 76.0.3809.100,,,2019-08-21 19:20:34,2019-08-21 19:20:35,0.510s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:20:35,2019-08-21 19:20:37,2.003s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Confirmeren""))",Chrome 76.0.3809.100,,,2019-08-21 19:20:37,2019-08-21 19:20:46,9.060s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-21 19:20:46,2019-08-21 19:20:51,5.002s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click roll process""))",Chrome 76.0.3809.100,,,2019-08-21 19:20:51,2019-08-21 19:20:54,2.607s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:20:54,2019-08-21 19:20:56,2.004s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click new process""))",Chrome 76.0.3809.100,,,2019-08-21 19:20:56,2019-08-21 19:20:56,0.515s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:20:56,2019-08-21 19:20:58,2.005s,PASSED
