Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-534,507,543 and 484",Chrome 76.0.3809.100,Enhancements Vreemdelingen Module(V 6.6),,2019-08-22 20:02:01,2019-08-22 20:09:49,7m - 47.502s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-534,Chrome 76.0.3809.100,"Description:

 

After selecting the record in ""Opsporing "" and clicking on Verdachte. it's displayed all fields are invisible.

 

Solution:

Data should be displayed in proper format .

 

Test plan:

Step 1: Go to Opsporing: Case Screening Select existing user

Step 2: Go to Verdachte

Step 3: View on Verdachte it is displaying invisible fields.

 

Navigation:
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:08:21,2019-08-22 20:08:23,2.005s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Zoeken new""))",Chrome 76.0.3809.100,,,2019-08-22 20:08:23,2019-08-22 20:08:28,4.434s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:08:28,2019-08-22 20:08:30,2.007s,PASSED
AssistentiedynamicId = Generiekassistenite_Module,Chrome 76.0.3809.100,Remember first set default assistentieid after run the script,,2019-08-22 20:08:30,2019-08-22 20:08:30,0.001s,PASSED
"Assistentiexpath = ""//*[text()="""" + AssistentiedynamicId + """"]/preceding-sibling::td/a[2]""",Chrome 76.0.3809.100,,,2019-08-22 20:08:30,2019-08-22 20:08:30,0.000s,PASSED
"to = findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/View Assistentie"")",Chrome 76.0.3809.100,,,2019-08-22 20:08:30,2019-08-22 20:08:30,0.569s,PASSED
"to.addProperty(""xpath"", EQUALS, Assistentiexpath)",Chrome 76.0.3809.100,,,2019-08-22 20:08:30,2019-08-22 20:08:30,0.001s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-22 20:08:30,2019-08-22 20:08:35,5.003s,PASSED
click(to),Chrome 76.0.3809.100,,,2019-08-22 20:08:35,2019-08-22 20:08:36,0.570s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:08:36,2019-08-22 20:08:38,2.004s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Confirmeren""))",Chrome 76.0.3809.100,,,2019-08-22 20:08:38,2019-08-22 20:08:50,11.637s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-22 20:08:50,2019-08-22 20:08:55,5.004s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click roll process""))",Chrome 76.0.3809.100,,,2019-08-22 20:08:55,2019-08-22 20:08:58,2.994s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:08:58,2019-08-22 20:09:00,2.005s,PASSED
